#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
340	-40	571	3	0	1	0	531	9	13282.031250ns
341	-40	571	4	0	1	0	534	21	13366.406250ns
342	-40	572	0	0	1	0	218	29	5472.656250ns
343	-40	572	1	0	1	0	221	24	5543.750000ns
344	-40	572	2	0	1	0	225	2	5626.562500ns
345	-40	572	3	0	1	0	231	9	5782.031250ns
346	-40	572	4	0	1	0	308	6	7704.687500ns
347	-40	572	5	0	1	0	317	21	7941.406250ns
348	-40	572	6	0	1	0	320	6	8004.687500ns
349	-40	572	7	0	1	0	930	8	23256.250000ns
350	-40	572	8	0	1	0	936	30	23423.437500ns
351	-40	572	9	0	1	0	943	3	23577.343750ns
352	-40	575	0	0	1	0	434	9	10857.031250ns
353	-40	575	1	0	1	0	441	6	11029.687500ns
354	-40	575	2	0	1	0	444	15	11111.718750ns
355	-40	575	3	0	1	0	447	9	11182.031250ns
356	-40	575	4	0	1	0	529	30	13248.437500ns
357	-40	575	5	0	1	0	533	4	13328.125000ns
358	-40	576	0	0	1	0	431	5	10778.906250ns
359	-40	576	1	0	1	0	519	15	12986.718750ns
360	-40	577	0	0	1	0	413	18	10339.062500ns
361	-40	577	1	0	1	0	420	8	10506.250000ns
362	-40	577	2	0	1	0	426	24	10668.750000ns
363	-40	577	3	0	1	0	508	20	12715.625000ns
364	-40	577	4	0	1	0	512	2	12801.562500ns
365	-40	579	0	0	1	0	418	17	10463.281250ns
366	-40	579	1	0	1	0	424	31	10624.218750ns
367	-40	579	2	0	1	0	513	30	12848.437500ns
368	-40	579	3	0	1	0	520	14	13010.937500ns
369	-40	581	0	0	1	0	465	26	11645.312500ns
370	-40	581	1	0	1	0	468	20	11715.625000ns
371	-40	581	2	0	1	0	554	3	13852.343750ns
372	-40	581	3	0	1	0	557	16	13937.500000ns
373	-40	582	0	0	1	0	422	16	10562.500000ns
374	-40	582	1	0	1	0	432	4	10803.125000ns
375	-40	582	2	0	1	0	434	27	10871.093750ns
376	-40	582	3	0	1	0	517	15	12936.718750ns
377	-40	582	4	0	1	0	521	0	13025.000000ns
378	-40	582	5	0	1	0	523	31	13099.218750ns
379	-40	583	0	0	1	0	16	8	406.250000ns
380	-40	583	1	0	1	0	20	4	503.125000ns
381	-40	583	2	0	1	0	23	14	585.937500ns
382	-40	583	3	0	1	0	26	4	653.125000ns
383	-40	583	4	0	1	0	613	15	15336.718750ns
384	-40	583	5	0	1	0	623	23	15592.968750ns
385	-40	583	6	0	1	0	626	7	15655.468750ns
386	-40	583	7	0	1	0	702	5	17553.906250ns
387	-40	583	8	0	1	0	708	23	17717.968750ns
388	-40	583	9	0	1	0	712	0	17800.000000ns
389	-40	584	0	0	1	0	459	11	11483.593750ns
390	-40	584	1	0	1	0	465	29	11647.656250ns
391	-40	584	2	0	1	0	469	8	11731.250000ns
392	-40	584	3	0	1	0	555	0	13875.000000ns
393	-40	586	0	0	1	0	394	1	9850.781250ns
394	-40	586	1	0	1	0	406	30	10173.437500ns
395	-40	586	2	0	1	0	491	24	12293.750000ns
396	-40	586	3	0	1	0	494	25	12369.531250ns
397	-40	588	0	0	1	0	562	31	14074.218750ns
398	-40	588	1	0	1	0	652	15	16311.718750ns
399	-40	590	0	0	1	0	417	2	10426.562500ns
400	-40	590	1	0	1	0	420	7	10505.468750ns
401	-40	590	2	0	1	0	512	7	12805.468750ns
402	-40	590	3	0	1	0	515	11	12883.593750ns
403	-40	590	4	0	1	0	518	7	12955.468750ns
404	-40	592	0	0	1	0	193	1	4825.781250ns
405	-40	592	1	0	1	0	282	17	7063.281250ns
406	-40	592	2	0	1	0	289	0	7225.000000ns
407	-40	597	0	0	1	0	503	12	12584.375000ns
408	-40	597	1	0	1	0	510	0	12750.000000ns
409	-40	597	2	0	1	0	513	8	12831.250000ns
410	-40	597	3	0	1	0	598	18	14964.062500ns
411	-40	597	4	0	1	0	601	22	15042.187500ns
412	-40	598	0	0	1	0	409	10	10232.812500ns
413	-40	598	1	0	1	0	416	6	10404.687500ns
414	-40	598	2	0	1	0	419	18	10489.062500ns
415	-40	598	3	0	1	0	422	6	10554.687500ns
416	-40	598	4	0	1	0	504	0	12600.000000ns
417	-40	598	5	0	1	0	507	6	12679.687500ns
418	-40	598	6	0	1	0	510	4	12753.125000ns
419	-40	599	0	0	1	0	407	28	10196.875000ns
420	-40	599	1	0	1	0	414	30	10373.437500ns
421	-40	599	2	0	1	0	418	7	10455.468750ns
422	-40	599	3	0	1	0	503	23	12592.968750ns
423	-36	601	0	0	1	0	850	16	21262.500000ns
424	-36	601	1	0	1	0	856	28	21421.875000ns
425	-36	601	2	0	1	0	863	4	21578.125000ns
426	-36	601	3	0	1	0	941	27	23546.093750ns
427	-36	601	4	0	1	0	951	7	23780.468750ns
428	-36	602	0	0	1	0	434	29	10872.656250ns
429	-36	602	1	0	1	0	441	15	11036.718750ns
430	-36	602	2	0	1	0	445	4	11128.125000ns
431	-36	602	3	0	1	0	467	1	11675.781250ns
432	-36	602	4	0	1	0	529	31	13249.218750ns
433	-36	602	5	0	1	0	533	8	13331.250000ns
434	-36	603	0	0	1	0	490	11	12258.593750ns
435	-36	603	1	0	1	0	497	2	12426.562500ns
436	-36	603	2	0	1	0	500	17	12513.281250ns
437	-36	603	3	0	1	0	585	20	14640.625000ns
438	-36	603	4	0	1	0	588	29	14722.656250ns
439	-36	604	0	0	1	0	729	13	18235.156250ns
440	-36	604	1	0	1	0	735	1	18375.781250ns
441	-36	604	2	0	1	0	824	3	20602.343750ns
442	-36	604	3	0	1	0	827	22	20692.187500ns
443	-36	604	4	0	1	0	830	26	20770.312500ns
444	-36	605	0	0	1	0	709	10	17732.812500ns
445	-36	605	1	0	1	0	712	16	17812.500000ns
446	-36	605	2	0	1	0	714	31	17874.218750ns
447	-36	605	3	0	1	0	721	23	18042.968750ns
448	-36	605	4	0	1	0	798	14	19960.937500ns
449	-36	605	5	0	1	0	801	1	20025.781250ns
450	-36	605	6	0	1	0	804	25	20119.531250ns
451	-36	605	7	0	1	0	808	6	20204.687500ns
452	-36	605	8	0	1	0	811	10	20282.812500ns
453	-36	607	0	0	1	0	446	7	11155.468750ns
454	-36	607	1	0	1	0	452	9	11307.031250ns
455	-36	607	2	0	1	0	459	11	11483.593750ns
456	-36	607	3	0	1	0	462	15	11561.718750ns
457	-36	607	4	0	1	0	472	9	11807.031250ns
458	-36	607	5	0	1	0	537	21	13441.406250ns
459	-36	607	6	0	1	0	540	22	13517.187500ns
